%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.names0,field.names1,field.names2,field.names3,field.names4,field.names5,field.names6
158697393579123930,87,158697393579123930,,-0.00757492916455,0.0296622287183,-0.913871196119,0.0169538451067,0.999170324311,0.0101043551552,0.0356248145951,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393609427955,88,158697393609427955,,-0.00757167862686,0.0296761836109,-0.913871302947,0.0169566616454,0.999170215323,0.0101495628487,0.0356135992561,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393639731980,89,158697393639731980,,-0.00758759434024,0.0296732741014,-0.913872341741,0.0169629125497,0.999171154439,0.0101040880595,0.0355973232528,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393670036005,90,158697393670036005,,-0.00759122296105,0.0296767999244,-0.913871573862,0.0169602884474,0.999170362901,0.0101259352923,0.0356145797806,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393700340030,91,158697393700340030,,-0.00757637925044,0.0296580816782,-0.913871180507,0.0169505638002,0.99917008362,0.0100968512825,0.0356352834937,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393730644055,92,158697393730644055,,-0.0075969549047,0.0296603144554,-0.913873076611,0.0169632629187,0.999172974383,0.0100719466033,0.0355550986953,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393760948080,93,158697393760948080,,-0.00757651545858,0.0296438727449,-0.913871700346,0.016940563126,0.999169628118,0.0101461218559,0.0356388212671,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393791252105,94,158697393791252105,,-0.00758484440994,0.0296577085927,-0.913872070812,0.0169482872671,0.999170660477,0.0101432484509,0.035606929064,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393821556130,95,158697393821556130,,-0.00757927817647,0.029655070019,-0.913872325462,0.0169520597141,0.999170775552,0.0101110570638,0.0356111522148,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393851860155,96,158697393851860155,,-0.00759557050387,0.0296583623095,-0.913871980599,0.0169496849318,0.999170986678,0.0101350429264,0.035599447092,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393882164180,97,158697393882164180,,-0.00757876268783,0.0296641860887,-0.913870774622,0.0169501509114,0.999170223545,0.0101534279425,0.035615467332,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393912468205,98,158697393912468205,,-0.00758830853683,0.0296706889144,-0.913872207024,0.0169533326635,0.999170948271,0.0101179102028,0.0356037507716,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
158697393942772230,99,158697393942772230,,-0.00756545396823,0.029645796306,-0.913870566312,0.0169480573672,0.999169854365,0.0100159867693,0.0356658075074,position_x,position_y,position_z,position_qw,position_qx,position_qy,position_qz
